"Pt","X","Y","X'","Y'"
0,60.64831355299365,333.19567022714074,-90.11864456726316,13.742155603436208
1,197.5924581164615,222.30431414160097,-89.73482643157914,14.037926371691599
2,252.70412605053997,121.09925120811133,-89.59036036269138,14.315745734937268
3,259.7183383330591,79.6819977303796,-89.57411861530164,14.416615534515696
4,325.5183297452619,67.65763381748975,-89.39374973639445,14.451663515725151
5,428.5013350332979,82.54017151784582,-89.10225311218899,14.402795802087581
6,542.9227975856402,174.93684550377483,-88.7959394552771,14.165936985987106
7,656.2698802079136,289.35830805611727,-88.4896257983652,13.85962332907521
8,804.5343105574275,216.3004728114291,-88.08536300697565,14.066206958155325
9,830.3194288790821,285.59797830087587,-88.00878459274769,13.873870475908321
10,906.0632139489426,278.0773187903933,-87.79685828360515,13.897022089512127
11,931.3111423055627,332.87069522390937,-87.73274612285616,13.743865261056179
12,888.8731350678395,460.184716937079,-87.85562776429174,13.419742670602895
13,937.4888269034591,539.444654505347,-87.71137540260648,13.193569214627251
14,874.171217818046,554.908829452561,-87.9037118848535,13.16329402760689
15,529.4266267069269,513.7991187970509,-88.82621464229746,13.259462268730392
16,172.33131905272216,415.34303417825004,-89.81537369385349,13.527613925196452
