"Pt","X","Y","X'","Y'"
0,29.159442724458206,292.85681114551085,-90.13259183328023,13.744276606805576
1,219.39009287925697,63.746904024767744,-89.5802217091212,14.426616171943206
2,380.4613003095975,65.13544891640859,-89.11314403060437,14.41036999182088
3,140.24303405572755,370.6153250773994,-89.80766823083374,13.524953175154195
4,361.0216718266254,405.3289473684211,-89.1700056610325,13.427476094420246
5,485.9907120743034,152.61377708978324,-88.79228197318847,14.170738835016595
6,594.297213622291,256.75464396284826,-88.4836045508643,13.870184502753592
7,801.1904024767802,496.97291021671833,-87.89468052143003,13.163475667432474
8,731.7631578947369,185.93885448916407,-88.0733885027756,14.069200209252067
9,828.9613003095975,370.6153250773994,-87.78612649970358,13.524214712421362
